# id	file_path	transparent_color_r	g	b
[TEXTURES]
20	textures\misc.png	176	224	248
0	textures\SpritesTank.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
# JASON
# idle right
10001	3	98	11	114	0
# walk 	
10002	12	98	20	114	0	
10003	21	98	29	114	0
10004	30	98	38	114	0
# idle left
10011	3	30	11	46	0
#walk
10012	12	30	20	46	0
10013	21	30	29	46	0
10014	30	30	38	46	0
# die 
10099	215	120	231	135	0
#BRICK
20001	408	225	424	241	20
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20
						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== JASON=========
#idle right
500	10001	100
#idle left 
501	10011	100
#walk left big
502	10001	100	10002	100	10003	100	10004	100
#walk right big
503	10011	100	10012	100	10013	100	10014	100
#die
599	10099	100


# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# JASON
1	500	501	502	503	599
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = JASON, 1 = Brick
# JASON
0	50.0	0	1

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	150	2
1	16	150	2
1	32	150	2
1	48	150	2
1	64	150	2
1	80	150	2
1	96	150	2
1	112	150	2
1	128	150	2
1	144	150	2
1	160	150	2
1	176	150	2
1	192	150	2
1	208	150	2
1	224	150	2
1	240	150	2
1	256	150	2
1	272	150	2
1	288	150	2
1	304	150	2
1	320	150	2
1	336	150	2
1	352	150	2
1	368	150	2
1	384	150	2
1	400	150	2
1	416	150	2
1	432	150	2
1	448	150	2

# ---- brick group 1 ----
1	100	74	2
1	100	90	22
1	84	90	22

# ---- brick group 2 ----
1	160	74	2
1	160	90	22
1	144	90	22

# ---- brick group 3 ----
1	220	74	2
1	220	90	22
1	204	90	22



